trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.0005, 'e': 0.13994581038245626}",20,8,23.90602084619875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.0005, 'e': 0.13834565210817393}",25,16,19.581798944420814,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.0005, 'e': 0.1367637902480233}",20,12,-1.764276639379088,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.0005, 'e': 0.13520001559846778}",20,12,0.2995961247601935,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.0005, 'e': 0.13365412134803076}",25,0,3.922325372335175,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.0005, 'e': 0.13212590304994445}",20,8,19.341032391530092,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.0005, 'e': 0.13061515859511152}",20,0,27.367356833828932,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.0005, 'e': 0.12912168818537592}",30,4,1.7743103919886543,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.0005, 'e': 0.1276452943070992}",25,4,23.90298355729514,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.0005, 'e': 0.12618578170503908}",20,4,29.719562709758474,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.0005, 'e': 0.1247429573565267}",25,19,14.600523633969694,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.0005, 'e': 0.12331663044593903}",25,9,30.397367401989143,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.0005, 'e': 0.12190661233946327}",30,19,5.504257423125134,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.0005, 'e': 0.12051271656014971}",20,12,15.263371798859284,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.0005, 'e': 0.11913475876324991}",30,8,29.391323858463846,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.0005, 'e': 0.11777255671183685}",20,6,4.724278311819457,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.0005, 'e': 0.1164259302527038}",20,10,13.721803679741178,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.0005, 'e': 0.11509470129253882}",25,15,-24.734879709071222,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
189,False,"{'a': 0.0005, 'e': 0.11377869377437164}",20,2,30.679719890226487,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.0005, 'e': 0.11247773365428988}",20,0,13.797180786536167,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
191,False,"{'a': 0.0005, 'e': 0.11119164887842152}",30,13,15.627781979905157,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.0005, 'e': 0.10992026936018046}",30,22,4.283225136687763,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.0005, 'e': 0.10866342695777234}",25,14,-3.7553716142619677,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
194,False,"{'a': 0.0005, 'e': 0.1074209554519576}",20,0,20.664853710469313,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
195,False,"{'a': 0.0005, 'e': 0.10619269052406867}",25,0,34.22856371338301,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.0005, 'e': 0.10497846973427863}",20,3,17.441792521966462,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.0005, 'e': 0.10377813250011829}",20,16,6.470598513996193,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.0005, 'e': 0.10259152007523893}",30,17,24.682396164900247,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.0005, 'e': 0.10141847552841786}",25,0,27.583635953014493,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
200,False,"{'a': 0.0005, 'e': 0.10025884372280403}",25,17,7.097753412411296,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.0005, 'e': 0.09911247129540096}",20,0,36.068777809831154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.0005, 'e': 0.09797920663678429}",25,15,18.085691982966058,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.0005, 'e': 0.09685889987105117}",25,13,12.316844274131856,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.0005, 'e': 0.09575140283599898}",25,13,22.361032441037963,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.0005, 'e': 0.09465656906353062}",20,0,26.635589983580754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.0005, 'e': 0.09357425376028397}",25,15,19.574178664490333,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.0005, 'e': 0.09250431378848269}",30,14,21.470673539784844,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.0005, 'e': 0.09144660764700603}",25,8,19.66711886093601,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.0005, 'e': 0.09040099545267519}",30,3,44.84454081820001,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.0005, 'e': 0.08936733892175347}",20,4,25.473713243983106,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.0005, 'e': 0.08834550135165808}",25,8,16.88809229550454,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.0005, 'e': 0.08733534760288106}",20,0,16.234669909399763,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
213,False,"{'a': 0.0005, 'e': 0.0863367440811168}",30,12,30.05158875135079,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.0005, 'e': 0.08534955871959407}",25,11,28.002358542947967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.0005, 'e': 0.08437366096160999}",20,9,15.468841227913076,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.0005, 'e': 0.08340892174326367}",25,19,13.188642042019922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.0005, 'e': 0.08245521347638737}",20,15,8.985583119491215,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.0005, 'e': 0.08151241003167276}",20,5,26.194504914579603,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.0005, 'e': 0.08058038672199011}",30,17,-19.105805875056557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
220,False,"{'a': 0.0005, 'e': 0.0796590202858983}",25,18,15.298891102554524,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.0005, 'e': 0.07874818887134326}",35,17,31.294496198288343,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.0005, 'e': 0.07784777201954285}",20,0,23.266891948924663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.0005, 'e': 0.07695765064905606}",25,16,16.41976164972429,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.0005, 'e': 0.07607770704003428}",20,6,15.993153167777125,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.0005, 'e': 0.07520782481865268}",25,3,29.37584129979419,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.0005, 'e': 0.07434788894171963}",20,9,21.662461337858357,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.0005, 'e': 0.07349778568146204}",25,7,26.653092508821107,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.0005, 'e': 0.07265740261048469}",25,0,-16.68214116730342,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
229,False,"{'a': 0.0005, 'e': 0.07182662858690159}",25,0,35.87103044994074,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.0005, 'e': 0.07100535373963725}",25,0,24.632871998759608,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
231,False,"{'a': 0.0005, 'e': 0.07019346945389611}",25,14,19.324915691495313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.0005, 'e': 0.06939086835679804}",25,2,42.16361924182839,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.0005, 'e': 0.06859744430317817}",25,3,23.007013224492347,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.0005, 'e': 0.06781309236154896}",20,5,-30.09464493330812,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
